Jmin,n,l,a,actfn
0.023566043004393578,16,1,6.283185307179586,relu
0.023025650531053543,32,1,6.283185307179586,relu
0.02312482893466949,64,1,6.283185307179586,relu
0.022860962897539135,128,1,6.283185307179586,relu
0.02362843044102192,256,1,6.283185307179586,relu
0.11950819939374924,1,2,6.283185307179586,relu
0.11940624564886092,2,2,6.283185307179586,relu
0.05136551707983017,4,2,6.283185307179586,relu
0.022735044360160828,8,2,6.283185307179586,relu
9.657354530645534e-05,16,2,6.283185307179586,relu
7.720290886936709e-05,32,2,6.283185307179586,relu
4.158018782618456e-05,64,2,6.283185307179586,relu
5.002636680728756e-05,128,2,6.283185307179586,relu
4.851811172557064e-05,256,2,6.283185307179586,relu
0.11955153197050095,1,4,6.283185307179586,relu
0.11948105692863464,2,4,6.283185307179586,relu
8.423763938480988e-05,4,4,6.283185307179586,relu
6.952740659471601e-05,8,4,6.283185307179586,relu
4.0445174818160006e-05,16,4,6.283185307179586,relu
1.2693891221715605e-05,32,4,6.283185307179586,relu
2.712206196520128e-06,64,4,6.283185307179586,relu
7.855985131755006e-06,128,4,6.283185307179586,relu
0.0005502253188751638,256,4,6.283185307179586,relu
0.1195259615778923,1,8,6.283185307179586,relu
0.11939837783575057,2,8,6.283185307179586,relu
0.119501531124115,4,8,6.283185307179586,relu
2.1045347239123657e-05,8,8,6.283185307179586,relu
2.939018850156572e-05,16,8,6.283185307179586,relu
1.7524096165288938e-06,32,8,6.283185307179586,relu
0.0011662138858810067,64,8,6.283185307179586,relu
0.0002201422321377322,128,8,6.283185307179586,relu
3.895139889209531e-05,256,8,6.283185307179586,relu
0.11949892342090607,1,16,6.283185307179586,relu
0.11954544484615325,2,16,6.283185307179586,relu
0.11954130232334136,4,16,6.283185307179586,relu
1.3880196092941333e-05,8,16,6.283185307179586,relu
8.96251731319353e-05,16,16,6.283185307179586,relu
0.00045080186100676656,32,16,6.283185307179586,relu
4.2966512410202995e-06,64,16,6.283185307179586,relu
1.2322935845077154e-06,128,16,6.283185307179586,relu
7.993505278136581e-05,256,16,6.283185307179586,relu
0.11950164288282394,1,32,6.283185307179586,relu
0.11953864991664886,2,32,6.283185307179586,relu
0.11952444911003111,4,32,6.283185307179586,relu
0.11952414363622664,8,32,6.283185307179586,relu
0.11955004185438156,16,32,6.283185307179586,relu
0.11951237916946413,32,32,6.283185307179586,relu
0.11953650414943696,64,32,6.283185307179586,relu
0.11949412524700163,128,32,6.283185307179586,relu
0.11951382458209991,256,32,6.283185307179586,relu
0.11950528621673584,1,64,6.283185307179586,relu
0.11949766427278519,2,64,6.283185307179586,relu
0.11955682188272476,4,64,6.283185307179586,relu
0.11956259608268736,8,64,6.283185307179586,relu
0.1195213869214058,16,64,6.283185307179586,relu
0.11954151839017868,32,64,6.283185307179586,relu
0.1195094957947731,64,64,6.283185307179586,relu
0.11951381713151932,128,64,6.283185307179586,relu
0.11952748149633408,256,64,6.283185307179586,relu
0.07893659919500352,1,1,15.707963267948966,tanh
0.07910235226154326,2,1,15.707963267948966,tanh
